iso3166-1_alpha2,region_name,city_name,geonameid
AO,Zaire,Soio,2236967
AQ,Antarctica,McMurdo Station,6620770
AR,Buenos Aires,Abasto,0
AR,Buenos Aires,Acevedo,0
AR,Buenos Aires,Alberti,0
AR,Buenos Aires,Alsina,0
AR,Buenos Aires,Arenaza,0
AR,Buenos Aires,Arrecifes,0
AR,Buenos Aires,Arribenos,0
AR,Buenos Aires,Arroyo Corto,0
AR,Buenos Aires,Avellaneda,7535637
AR,Buenos Aires,Azul,3436199
AR,Buenos Aires,Bahia Blanca,3865086
AR,Buenos Aires,Balcarce,0
AR,Buenos Aires,Balneario Claromeco,0
AR,Buenos Aires,Baradero,0
AR,Buenos Aires,Barker,0
AR,Buenos Aires,Batan,0
AR,Buenos Aires,Benito Juarez,0
AR,Buenos Aires,Bermudez,0
AR,Buenos Aires,Bosques,0
AR,Buenos Aires,Bragado,0
AR,Buenos Aires,Brandsen,0
AR,Buenos Aires,Cabildo,0
AR,Buenos Aires,Campana,3435810
AR,Buenos Aires,Canuelas,0
AR,Buenos Aires,Capilla del Senor,0
AR,Buenos Aires,Capitan Sarmiento,0
AR,Buenos Aires,Carhue,0
AR,Buenos Aires,Carlos Casares,0
AR,Buenos Aires,Carlos Tejedor,0
AR,Buenos Aires,Carmen de Areco,0
AR,Buenos Aires,Castelar,3435607
AR,Buenos Aires,Cazon,0
AR,Buenos Aires,Chacabuco,3861953
AR,Buenos Aires,Chascomus,0
AR,Buenos Aires,Chillar,0
AR,Buenos Aires,Chivilcoy,3861344
AR,Buenos Aires,Colon,0
AR,Buenos Aires,Conesa,0
AR,Buenos Aires,Coronel Dorrego,0
AR,Buenos Aires,Coronel Pringles,0
AR,Buenos Aires,Coronel Suarez,3860164
AR,Buenos Aires,Coronel Vidal,0
AR,Buenos Aires,Curaru,0
AR,Buenos Aires,Daireaux,0
AR,Buenos Aires,Darregueira,0
AR,Buenos Aires,De la Garma,0
AR,Buenos Aires,Dolores,3435038
AR,Buenos Aires,El Dorado,0
AR,Buenos Aires,Espartillar,0
AR,Buenos Aires,Fatima,0
AR,Buenos Aires,Ferre,0
AR,Buenos Aires,Florentino Ameghino,3865888
AR,Buenos Aires,Gahan,0
AR,Buenos Aires,General Arenales,0
AR,Buenos Aires,General Belgrano,0
AR,Buenos Aires,General Juan Madariaga,0
AR,Buenos Aires,General La Madrid,0
AR,Buenos Aires,General Las Heras,0
AR,Buenos Aires,General Pinto,0
AR,Buenos Aires,General Viamonte,0
AR,Buenos Aires,General Villegas,0
AR,Buenos Aires,Germania,0
AR,Buenos Aires,Gobernador Castro,0
AR,Buenos Aires,Gomez,0
AR,Buenos Aires,Gorostiaga,0
AR,Buenos Aires,Guamini,0
AR,Buenos Aires,Henderson,0
AR,Buenos Aires,Hilario Ascasubi,0
AR,Buenos Aires,Huanguelen,0
AR,Buenos Aires,Hurlingham,3433522
AR,Buenos Aires,Isidro Casanova,0
AR,Buenos Aires,Ituzaingo,3433359
AR,Buenos Aires,Jose C. Paz,0
AR,Buenos Aires,Jose Maria Ezeiza,0
AR,Buenos Aires,Juan Jose Paso,0
AR,Buenos Aires,Juan N. Fernandez,0
AR,Buenos Aires,Junin,3853354
AR,Buenos Aires,La Plata,3432043
AR,Buenos Aires,Laguna Alsina,0
AR,Buenos Aires,Laprida,0
AR,Buenos Aires,Las Armas,0
AR,Buenos Aires,Las Flores,0
AR,Buenos Aires,Las Toninas,0
AR,Buenos Aires,Lima,0
AR,Buenos Aires,Lincoln,3846864
AR,Buenos Aires,Loberia,0
AR,Buenos Aires,Lobos,0
AR,Buenos Aires,Loma Verde,0
AR,Buenos Aires,Lujan,3430988
AR,Buenos Aires,Luro,0
AR,Buenos Aires,Magdalena,0
AR,Buenos Aires,Maipu,0
AR,Buenos Aires,Manuel J. Cobo,0
AR,Buenos Aires,Mar de Ajo,0
AR,Buenos Aires,Mar del Plata,3430863
AR,Buenos Aires,Mar del Sur,0
AR,Buenos Aires,Mayor Buratovich,0
AR,Buenos Aires,Maza,0
AR,Buenos Aires,Mechongue,0
AR,Buenos Aires,Medanos,0
AR,Buenos Aires,Mercedes,3430708
AR,Buenos Aires,Monte Hermoso,3843844
AR,Buenos Aires,Moquehua,0
AR,Buenos Aires,Napaleofu,0
AR,Buenos Aires,Navarro,0
AR,Buenos Aires,Necochea,3430443
AR,Buenos Aires,Norberto de la Riestra,0
AR,Buenos Aires,Nueve de Julio,3842881
AR,Buenos Aires,Olavarria,3842670
AR,Buenos Aires,Pedro Luro,0
AR,Buenos Aires,Pehuajo,0
AR,Buenos Aires,Pellegrini,0
AR,Buenos Aires,Pergamino,3841490
AR,Buenos Aires,Pila,0
AR,Buenos Aires,Pinamar,3429971
AR,Buenos Aires,Puan,0
AR,Buenos Aires,Punta Alta,3839982
AR,Buenos Aires,Punta Indio,0
AR,Buenos Aires,Quilmes,3429652
AR,Buenos Aires,Rafael Obligado,0
AR,Buenos Aires,Ramallo,0
AR,Buenos Aires,Ramos Mejia,3429617
AR,Buenos Aires,Rancagua,0
AR,Buenos Aires,Rauch,0
AR,Buenos Aires,Rivera,0
AR,Buenos Aires,Roberts,0
AR,Buenos Aires,Roque Perez,0
AR,Buenos Aires,Rosas,0
AR,Buenos Aires,Saavedra,0
AR,Buenos Aires,Saladillo,0
AR,Buenos Aires,Salliquelo,0
AR,Buenos Aires,San Andres de Giles,0
AR,Buenos Aires,San Antonio de Areco,0
AR,Buenos Aires,San Carlos de Bolivar,0
AR,Buenos Aires,San Cayetano,0
AR,Buenos Aires,San Clemente del Tuyu,3429160
AR,Buenos Aires,San Isidro,3428992
AR,Buenos Aires,San Justo,3428775
AR,Buenos Aires,San Miguel del Monte,0
AR,Buenos Aires,San Nicolas de los Arroyos,3836846
AR,Buenos Aires,San Patricio,0
AR,Buenos Aires,Santa Catalina - Dique Lujan,8015350
AR,Buenos Aires,Santa Regina,0
AR,Buenos Aires,Santa Teresita,0
AR,Buenos Aires,Sierra de la Ventana,0
AR,Buenos Aires,Stroeder,0
AR,Buenos Aires,Suipacha,0
AR,Buenos Aires,Tandil,3427833
AR,Buenos Aires,Tapalque,0
AR,Buenos Aires,Todd,0
AR,Buenos Aires,Tornquist,0
AR,Buenos Aires,Torres,0
AR,Buenos Aires,Trenque Lauquen,0
AR,Buenos Aires,Tres Algarrobos,0
AR,Buenos Aires,Tres Arroyos,3833859
AR,Buenos Aires,Tres Lomas,3833773
AR,Buenos Aires,Vedia,0
AR,Buenos Aires,Veinticinco de Mayo,3833112
AR,Buenos Aires,Veronica,0
AR,Buenos Aires,Villa Gesell,3427431
AR,Buenos Aires,Villa Iris,0
AR,Buenos Aires,Villa Rosa,0
AR,Buenos Aires,Villalonga,0
AR,Buenos Aires,Vivorata,0
AR,Buenos Aires,Warnes,0
AR,Buenos Aires,Zarate,3427213
AR,Catamarca,Andalgala,3865802
AR,Catamarca,Belen,0
AR,Catamarca,Capayan,3862772
AR,Catamarca,El Rodeo,3856776
AR,Catamarca,Fiambala,3855588
AR,Catamarca,Hualfin,3854102
AR,Catamarca,Huillapima,3853981
AR,Catamarca,Icano,3853935
AR,Catamarca,La Puerta de San Jose,3849196
AR,Catamarca,Londres,3846616
AR,Catamarca,Los Altos,3846514
AR,Catamarca,Poman,3840809
AR,Catamarca,Puerta de Corral Quemado,3840159
AR,Catamarca,Recreo,3839263
AR,Catamarca,San Antonio,3838058
AR,Catamarca,San Fernando del Valle de Catamarca,3837702
AR,Catamarca,Santa Cruz,0
AR,Catamarca,Tinogasta,3834361
AR,Chaco,Avia Terai,3865186
AR,Chaco,Barranqueras,3436124
AR,Chaco,Basail,3436100
AR,Chaco,Campo Largo,3863095
AR,Chaco,Castelli,3862320
AR,Chaco,Charadai,3435453
AR,Chaco,Charata,3861678
AR,Chaco,Chorotis,3861297
AR,Chaco,Colonia Elisa,3435330
AR,Chaco,Colonias Unidas,3435295
AR,Chaco,Concepcion del Bermejo,3860419
AR,Chaco,Coronel Du Graty,3860197
AR,Chaco,Corzuela,3859974
AR,Chaco,Fontana,3433901
AR,Chaco,Gancedo,3855237
AR,Chaco,General Jose de San Martin,3433803
AR,Chaco,General Pinedo,3855074
AR,Chaco,General Vedia,3433773
AR,Chaco,Hermoso Campo,3854336
AR,Chaco,La Leonesa,3432355
AR,Chaco,La Tigra,3847516
AR,Chaco,La Verde,3431460
AR,Chaco,Lapachito,3432122
AR,Chaco,Las Brenas,3848687
AR,Chaco,Los Frentones,3846175
AR,Chaco,Machagai,3845330
AR,Chaco,Pampa del Indio,3430180
AR,Chaco,Pampa del Infierno,3842142
AR,Chaco,Presidencia Roque Saenz Pena,3840300
AR,Chaco,Presidencia de la Plaza,3429866
AR,Chaco,Puerto Tirol,3429721
AR,Chaco,Quitilipi,3839490
AR,Chaco,Resistencia,3429577
AR,Chaco,Samuhu,3838194
AR,Chaco,San Bernardo,3837943
AR,Chaco,Santa Sylvina,3835921
AR,Chaco,Taco Pozo,3834843
AR,Chaco,Tres Isletas,3833794
AR,Chaco,Villa Angela,3832811
AR,Chaco,Villa Berthet,3832797
AR,Chubut,Alto Rio Senguer,3866035
AR,Chubut,Boca de la Zanja,0
AR,Chubut,Camarones,3863327
AR,Chubut,Comodoro Rivadavia,3860443
AR,Chubut,Dolavon,3859278
AR,Chubut,El Corcovado,0
AR,Chubut,Epuyen,0
AR,Chubut,Esquel,3855974
AR,Chubut,Gaiman,3855284
AR,Chubut,General Mosconi,0
AR,Chubut,Gobernador Costa,3854988
AR,Chubut,Jose de San Martin,3853479
AR,Chubut,Lago Puelo,3851100
AR,Chubut,Puerto Madryn,3840092
AR,Chubut,Rada Tilly,3839482
AR,Chubut,Rawson,3839307
AR,Chubut,Sarmiento,3835710
AR,Chubut,Trelew,3833883
AR,Chubut,Trevelin,3833675
AR,Ciudad Autonoma de Buenos Aires,Buenos Aires,3435910
AR,Ciudad Autonoma de Buenos Aires,Colegiales,3435356
AR,Ciudad Autonoma de Buenos Aires,El Maiten,3857756
AR,Ciudad Autonoma de Buenos Aires,Retiro,3429576
AR,Ciudad Autonoma de Buenos Aires,Villa Santa Rita,6693230
AR,Cordoba,Achiras,3866959
AR,Cordoba,Adelia Maria,3866935
AR,Cordoba,Agua de Oro,3866667
AR,Cordoba,Alcira,0
AR,Cordoba,Alejandro Roca,3866356
AR,Cordoba,Alejo Ledesma,3866353
AR,Cordoba,Alicia,0
AR,Cordoba,Almafuerte,3866237
AR,Cordoba,Alta Gracia,3866163
AR,Cordoba,Alto Alegre,0
AR,Cordoba,Altos de Chipion,3866028
AR,Cordoba,Arias,3865474
AR,Cordoba,Arroyito,3865424
AR,Cordoba,Arroyo Algodon,0
AR,Cordoba,Arroyo Cabral,3865413
AR,Cordoba,Ballesteros,0
AR,Cordoba,Balnearia,3864888
AR,Cordoba,Bell Ville,3864331
AR,Cordoba,Berrotaran,3864274
AR,Cordoba,Brinkmann,3863833
AR,Cordoba,Buchardo,3863821
AR,Cordoba,Bulnes,0
AR,Cordoba,Calchin,0
AR,Cordoba,Camilo Aldao,3863314
AR,Cordoba,Canals,3862883
AR,Cordoba,Capilla del Monte,3862761
AR,Cordoba,Carnerillo,3862575
AR,Cordoba,Chajan,0
AR,Cordoba,Charras,3861666
AR,Cordoba,Chazon,3861595
AR,Cordoba,Cintra,3861059
AR,Cordoba,Colonia Caroya,0
AR,Cordoba,Colonia La Tordilla,3860757
AR,Cordoba,Cordoba,3860259
AR,Cordoba,Coronel Moldes,3860178
AR,Cordoba,Coronel Olmedo,0
AR,Cordoba,Corral de Bustos,3860129
AR,Cordoba,Corralito,3860079
AR,Cordoba,Cosquin,3859965
AR,Cordoba,Costa Sacate,3859951
AR,Cordoba,Cruz Alta,3859839
AR,Cordoba,Cruz del Eje,3859828
AR,Cordoba,Dean Funes,3859512
AR,Cordoba,Del Campillo,3859500
AR,Cordoba,Despenaderos,3859429
AR,Cordoba,Devoto,3859409
AR,Cordoba,El Aranado,3858909
AR,Cordoba,Elena,3858088
AR,Cordoba,Embalse,3856235
AR,Cordoba,Etruria,3855719
AR,Cordoba,Ferreyra,0
AR,Cordoba,Freyre,0
AR,Cordoba,General Cabrera,3855124
AR,Cordoba,General Deheza,0
AR,Cordoba,General Levalle,3855098
AR,Cordoba,General Roca,3855066
AR,Cordoba,Guatimozin,3854494
AR,Cordoba,Hernando,3854331
AR,Cordoba,Huinca Renanco,3853974
AR,Cordoba,Idiazabal,3853923
AR,Cordoba,Inriville,3853748
AR,Cordoba,Italo,3853616
AR,Cordoba,James Craik,3853562
AR,Cordoba,Jesus Maria,3853510
AR,Cordoba,Justiniano Posse,3853331
AR,Cordoba,La Calera,3852374
AR,Cordoba,La Carlota,3852279
AR,Cordoba,La Cesira,3852125
AR,Cordoba,La Cumbre,3851798
AR,Cordoba,La Falda,3851331
AR,Cordoba,La Francia,3851181
AR,Cordoba,La Pampa,0
AR,Cordoba,La Para,3849557
AR,Cordoba,La Playosa,3849388
AR,Cordoba,Laborde,3852480
AR,Cordoba,Laboulaye,3852468
AR,Cordoba,Laguna Larga,3850929
AR,Cordoba,Las Acequias,3848863
AR,Cordoba,Las Higueras,3848343
AR,Cordoba,Las Junturas,3848242
AR,Cordoba,Las Perdices,3847911
AR,Cordoba,Las Varas,3847617
AR,Cordoba,Las Varillas,3847613
AR,Cordoba,Las Vertientes,0
AR,Cordoba,Leones,3846991
AR,Cordoba,Los Condores,3846236
AR,Cordoba,Luque,0
AR,Cordoba,Malagueno,3845202
AR,Cordoba,Malvinas Argentinas,3845073
AR,Cordoba,Manfredi,0
AR,Cordoba,Marcos Juarez,3844899
AR,Cordoba,Marull,3844759
AR,Cordoba,Mattaldi,3844679
AR,Cordoba,Mina Clavero,3844229
AR,Cordoba,Miramar,3844159
AR,Cordoba,Monte Buey,3843881
AR,Cordoba,Monte Cristo,3843871
AR,Cordoba,Monte Maiz,3843830
AR,Cordoba,Morrison,3843647
AR,Cordoba,Morteros,3843619
AR,Cordoba,Noetinger,3843026
AR,Cordoba,Oliva,3842662
AR,Cordoba,Oncativo,3842621
AR,Cordoba,Ordonez,3842593
AR,Cordoba,Pascanas,3841912
AR,Cordoba,Pilar,3841149
AR,Cordoba,Piquillin,3841035
AR,Cordoba,Portena,3840762
AR,Cordoba,Pozo del Molle,3840470
AR,Cordoba,Quilino,3839588
AR,Cordoba,Rio Cuarto,3838874
AR,Cordoba,Rio Primero,0
AR,Cordoba,Rio Tercero,3838793
AR,Cordoba,Rosales,0
AR,Cordoba,Sacanta,3838460
AR,Cordoba,Salsacate,3838237
AR,Cordoba,Salsipuedes,3838235
AR,Cordoba,Sampacho,3838201
AR,Cordoba,San Agustin,3838174
AR,Cordoba,San Basilio,3837960
AR,Cordoba,San Carlos,3837894
AR,Cordoba,San Francisco,3837675
AR,Cordoba,San Francisco del Chanar,3837625
AR,Cordoba,San Jose de la Dormida,3837239
AR,Cordoba,Santa Eufemia,3836284
AR,Cordoba,Santa Magdalena,3836170
AR,Cordoba,Santa Rosa de Calamuchita,3835943
AR,Cordoba,Santa Rosa de Rio Primero,3835938
AR,Cordoba,Santa Teresa,0
AR,Cordoba,Santiago Temple,3835866
AR,Cordoba,Saturnino M. Laspiur,3835691
AR,Cordoba,Sebastian Elcano,3835582
AR,Cordoba,Serrano,3835351
AR,Cordoba,Serrezuela,3835348
AR,Cordoba,Soto,0
AR,Cordoba,Tancacha,3834665
AR,Cordoba,Tio Pujio,3834339
AR,Cordoba,Transito,0
AR,Cordoba,Ucacha,3833463
AR,Cordoba,Unquillo,3833412
AR,Cordoba,Viamonte,3832957
AR,Cordoba,Vicuna Mackenna,3832917
AR,Cordoba,Villa Allende,3832815
AR,Cordoba,Villa Berna,7304381
AR,Cordoba,Villa Carlos Paz,3832791
AR,Cordoba,Villa Concepcion del Tio,3832779
AR,Cordoba,Villa Cura Brochero,3832773
AR,Cordoba,Villa Dolores,3832756
AR,Cordoba,Villa General Belgrano,3832734
AR,Cordoba,Villa Huidobro,3832719
AR,Cordoba,Villa Las Rosas,3832705
AR,Cordoba,Villa Maria,3832694
AR,Cordoba,Villa Nueva,3832662
AR,Cordoba,Villa Reduccion,3832648
AR,Cordoba,Villa Rumipal,3832631
AR,Cordoba,Villa Tulumba,3832607
AR,Cordoba,Villa de Maria,0
AR,Cordoba,Villa de Soto,3832759
AR,Cordoba,Villa del Totoral,3832763
AR,Cordoba,Wenceslao Escalante,3832398
AR,Corrientes,Alvear,3436370
AR,Corrientes,Cabred,0
AR,Corrientes,Chavarria,3435444
AR,Corrientes,Concepcion,3435273
AR,Corrientes,Corrientes,3435217
AR,Corrientes,Curuzu Cuatia,3435103
AR,Corrientes,Esquina,8051354
AR,Corrientes,Garruchos,3433842
AR,Corrientes,Gobernador Juan E. Martinez,3433751
AR,Corrientes,Gobernador Virasoro,3433753
AR,Corrientes,Goya,3433715
AR,Corrientes,Ita Ibate,3433373
AR,Corrientes,Itati,3433363
AR,Corrientes,Juan Pujol,3433291
AR,Corrientes,La Cruz,3432760
AR,Corrientes,Libertad,3431367
AR,Corrientes,Lomas de Vallejos,3431272
AR,Corrientes,Mercedes,3430709
AR,Corrientes,Mocoreta,3430648
